stop_name,stop_id,stop_lat,stop_lon
Dietikon Stoffelbach,8502186,47.393406,8.398943
Rudolfstetten Hofacker,8502187,47.364693,8.377094999999999
Zufikon Hammergut,8502188,47.355835,8.354728
Horgen Oberdorf,8502208,47.258747,8.589799000000001
Oberrieden Dorf,8502209,47.276722,8.577636
Urdorf,8502220,47.390879999999996,8.434713
Birmensdorf ZH,8502221,47.357433,8.437543
Bonstetten-Wettswil,8502222,47.325897,8.468176
Hedingen,8502223,47.298782,8.445950999999999
Affoltern am Albis,8502224,47.276066,8.44658
Zufikon Belvédère,8502268,47.357582,8.359237
Bergfrieden,8502270,47.397713,8.399086
Zufikon,8502274,47.352524,8.35471
Widen Heinrüti,8502275,47.36206,8.354861999999999
Rudolfstetten,8502277,47.370026,8.381803
Reppischhof,8502278,47.38472,8.396346000000001
"Zürich Wollishofen, Bahnhof",8502495,47.3477,8.533313
"Spreitenbach, Raiacker",8502508,47.415447,8.377185
"Unterlunkhofen, Breitenäcker",8502553,47.32216,8.380473
"Waldegg, Birmensdorferstrasse",8502559,47.3683,8.463469
"Berikon, Kirche",8502560,47.35105,8.371417999999998
"Rottenschwil, Hecht",8502570,47.319057,8.372092
"Zürich, Goldbrunnenplatz",8502572,47.370293,8.513917999999999
"Affoltern a. A., Stigeli",8502574,47.278465000000004,8.459103
"Widen, Dorf",8502575,47.367573,8.363594
"Bellikon, Post",8502750,47.389507,8.343372
"Langnau a.A., Albispasshöhe",8502762,47.27615,8.520691000000001
"Hausen am Albis, Riedmatt",8502763,47.262978000000004,8.517241499999999
"Hausen am Albis, Tüfenbach",8502764,47.259014,8.522038
"Aeugst am Albis, Dorf",8502771,47.26783,8.485342
"Gattikon, Obstgarten",8502776,47.284725,8.551117
"Ottenbach, Post",8502779,47.281647,8.404521
"Aesch ZH, Gemeindehaus",8502876,47.338207000000004,8.438702000000001
"Jonen, Post",8502879,47.29618,8.395511
"Zwillikon, Gemeindeplatz",8502883,47.287395000000004,8.432189
"Bonstetten, Dorfplatz",8502885,47.315086,8.46778
"Oberwil-Lieli, Oberwil Post",8502894,47.337165999999996,8.386393
"Birmensdorf ZH, Zentrum",8502950,47.353935,8.437175
"Affoltern a. A., Kronenplatz",8502953,47.281223,8.454413
"Oberlunkhofen, Post",8502955,47.31338,8.388683
"Hausen am Albis, Heisch",8502963,47.249054,8.529764
"Oberwil-Lieli, Lieli Dorf",8502979,47.34129,8.396903
"Langnau am Albis, Unteralbis",8502992,47.285767,8.527896
Zürich Stadelhofen,8503003,47.366609999999994,8.548467
Zürich Tiefenbrunnen,8503004,47.350124,8.561376
Zürich Wollishofen,8503009,47.347443,8.533591
Zürich Enge,8503010,47.364098,8.530807000000001
Zürich Wiedikon,8503011,47.37147,8.523458
Zürich Binz,8503051,47.362633,8.518428
Zürich Friesenberg,8503052,47.364779999999996,8.507944
Zürich Schweighof,8503053,47.364986,8.503048
Zürich Triemli,8503054,47.364998,8.495197000000001
Uitikon Waldegg,8503055,47.365837,8.465983
Ringlikon,8503056,47.36023,8.477374000000001
Uetliberg,8503057,47.352367,8.487651
Zürich Stadelhofen FB,8503059,47.366356,8.548125
Langwies ZH,8503061,47.296046999999994,8.694389
Egg,8503062,47.301505999999996,8.689610499999999
Hinteregg,8503063,47.30574,8.684346000000001
Scheuren,8503064,47.322598,8.659544
Zumikon,8503066,47.331688,8.623809
Zollikerberg,8503067,47.346053999999995,8.603399000000001
Maiacher,8503068,47.328182,8.631067
Neuhaus bei Hinteregg,8503072,47.313347,8.672004
Neue Forch,8503074,47.325813000000004,8.63785
Waltikon,8503075,47.336796,8.617026
Spital Zollikerberg,8503077,47.34732,8.596796000000001
Waldburg,8503078,47.345473999999996,8.593022999999999
Felsenegg,8503081,47.310143,8.507414
Adliswil (Luftseilbahnstation),8503082,47.31317,8.520053
"Zürich, Römerhof",8503083,47.368088,8.56028
"Zürich, Dolder",8503084,47.3732,8.574527
Zürich Brunau,8503086,47.352123,8.526234
Zürich Saalsporthalle,8503087,47.357407,8.522146000000001
Wildpark-Höfli,8503089,47.29657,8.535648
Zürich Selnau,8503090,47.37294,8.532036999999999
Zürich Giesshübel,8503091,47.362457,8.52185
Zürich Manegg,8503093,47.33838,8.519675999999999
Zürich Leimbach,8503094,47.334602000000004,8.519604
Sood-Oberleimbach,8503095,47.31957,8.521436999999999
Adliswil,8503096,47.312305,8.524168
Langnau-Gattikon,8503097,47.286877000000004,8.544021
Sihlwald,8503098,47.268276,8.557495
Sihlau,8503099,47.303158,8.525246000000001
Zollikon,8503100,47.33733,8.569721000000001
Küsnacht ZH,8503101,47.31915,8.580618
Erlenbach ZH,8503102,47.305786,8.591505
Herrliberg-Feldmeilen,8503103,47.281826,8.612715
Meilen,8503104,47.269814000000004,8.64429
Winkel am Zürichsee,8503111,47.297203,8.598979
Küsnacht Goldbach,8503141,47.326855,8.575955
"Volketswil, Dorf",8503150,47.389587,8.693222
"Volketswil, Zentrum",8503151,47.389168,8.681507
"Uster, Brandschenke",8503152,47.36114,8.710739
"Volketswil, Volkiland Chliriet",8503154,47.381904999999996,8.667557
"Volketswil, Chrummacher",8503155,47.379707,8.683466000000001
"Volketswil, Hegnau",8503156,47.38839,8.676234
"Gutenswil, Unterdorf",8503157,47.384903,8.714494
"Riedikon, Chis/Naturstation",8503168,47.326355,8.710092
"Riedikon, Dorf",8503189,47.332207000000004,8.711331
Kilchberg,8503200,47.32443,8.548
Rüschlikon,8503201,47.307133,8.555150999999999
Thalwil,8503202,47.295975,8.564753999999999
"Uster, Hegetsberg",8503253,47.349342,8.733224
"Uster, Post Niederuster",8503254,47.34454,8.702178
Oberglatt,8503312,47.47020300000001,8.510603
Niederhasli,8503314,47.47833,8.488693
Dielsdorf,8503315,47.482414,8.459417
Steinmaur,8503316,47.489979999999996,8.44684
"Kindhausen ZH, Geeren",8503350,47.408283000000004,8.683637
"Bisikon, Dorf",8503351,47.41252,8.695414
"Effretikon, Eselriet",8503370,47.42382,8.701064
"Illnau, Löwen",8503371,47.416332000000004,8.717422500000001
"Effretikon, Wattspitz",8503372,47.42712,8.694119
"Grafstal, Unterdorf",8503374,47.44518,8.701253
Ottikon b. Kemptthal,8503376,47.435314,8.716937
"Lindau, Dorf",8503377,47.441475,8.671492
"Tagelswangen, Dorf",8503378,47.430405,8.671923
"Winterberg ZH, Dorf",8503380,47.456406,8.693060000000001
"Grafstal, Thalegg",8503381,47.442646,8.704118
"Illnau, Weisslingerstrasse",8503382,47.407932,8.727052
Zürich Landesmuseum,8503446,47.378845,8.541712
Zürich Storchen,8503447,47.37103,8.541964
Zürich Enge Hafen,8503449,47.359140000000004,8.537167
Zürich Central (Polybahn),8503499,47.37654000000001,8.544039
Zürich Polyterrasse,8503500,47.376858,8.546401
Otelfingen Golfpark,8503525,47.45581,8.402096
Regensdorf-Watt,8503526,47.436565,8.472064999999999
Buchs-Dällikon,8503527,47.4534,8.4355755
Otelfingen,8503528,47.454937,8.3875065
"Birmensdorf ZH, Landikon Bach",8503551,47.35229,8.461699000000001
"Uster, Sportzentrum",8503565,47.358475,8.728876
"Uster, Spital",8503567,47.35385,8.723495
"Birmensdorf ZH, Sternen/WSL",8503578,47.360096,8.456273
"Birmensdorf ZH, Obere Risi",8503579,47.359455,8.450792999999999
"Uitikon, Schlössli",8503580,47.368107,8.447856
"Arni AG, Dorf",8503598,47.318394,8.419711
"Zürich, Triemli",8503610,47.36815,8.495377000000001
"Uster, See",8503633,47.343388,8.690750999999999
Zürich Bürkliplatz,8503651,47.366009999999996,8.540787
Zürichhorn Casino,8503653,47.352623,8.553129
Zollikon ZSG,8503655,47.338684,8.56752
Küsnacht ZSG,8503657,47.319016,8.577914
Erlenbach ZSG,8503659,47.30303,8.589305
Herrliberg ZSG,8503660,47.28348,8.609777000000001
Meilen ZSG,8503661,47.26755,8.640328
Horgen ZSG,8503672,47.262352,8.597596000000001
Oberrieden ZSG,8503673,47.278625,8.581928999999999
Thalwil ZSG,8503674,47.29669000000001,8.56805
Rüschlikon ZSG,8503675,47.309771999999995,8.558385000000001
Kilchberg Bendlikon,8503677,47.322556,8.551782000000001
Zürich Wollishofen ZSG,8503681,47.345535,8.536699
Küsnacht Heslibach,8503682,47.308640000000004,8.583923
"Stallikon, Wolfenhof",8503689,47.294434,8.485738000000001
"Stallikon, Dorf",8503690,47.326775,8.490337
"Stallikon, Bleiki",8503691,47.333763,8.488819
"Wettswil a.A., Dorf",8503692,47.337715,8.474347
"Wettswil a.A., Heidenchilen",8503693,47.345627,8.466694
"Stallikon, Gamlikon",8503694,47.31146,8.493346
"Hausen am Albis, Türlersee",8503695,47.267513,8.512607000000001
"Stallikon, Sellenbüren",8503696,47.343296,8.482073
"Aeugstertal, Kloster",8503697,47.284306,8.48686
"Birmensdorf ZH, Untere Risi",8503698,47.359707,8.447047
"Uitikon, Dorf",8503699,47.370537,8.454144
"Bassersdorf, Bahnhof",8503700,47.438717,8.626136
"Waldegg, Post",8503709,47.368332,8.462005
"Bülach, Mettmenriet",8503772,47.512474,8.543464
"Bachenbülach, alte Post",8503781,47.505253,8.54597
"Höri, Gemeindehaus",8503782,47.50806400000001,8.51019
"Uster, Schlyffi",8503785,47.345726,8.6973715
"Winkel, Zentrum",8503788,47.492374,8.552339
"Thalwil, Ebnet",8503791,47.28904,8.557350999999999
"Winkel, Bühlhof",8503857,47.483078000000006,8.560765
"Riedt b. Neerach, Riedacher",8503860,47.50103,8.474032000000001
"Langnau a.A.,Schwerzi-Wildpark",8503862,47.287243,8.533519
"Höri, Oberhöri",8503871,47.50374,8.498647
"Uster, Reithalle",8503872,47.356297,8.726783
"Widen, Imbismatt",8503879,47.37244000000001,8.356524
"Niederhasli, Hofstetterstrasse",8503885,47.482258,8.493795
"Langnau am Albis,Oberrenggstr.",8503887,47.28399,8.528731
"Horgenberg, Moorschwand",8503896,47.252724,8.586582
"Horgen, Stotzweid/Feller",8503898,47.250209999999996,8.597677000000001
"Freudwil, Im Dörfli",8503988,47.374794,8.734275
"Winkel, Oberrüti",8503989,47.4799,8.563684
"Embrach, Gemeindehaus",8506889,47.50253,8.594694
"Lufingen, Dorf",8506895,47.488663,8.593653
"Embrach, Post",8506897,47.505238,8.5937605
"Oberembrach, Dorf",8506898,47.48699000000001,8.619569
"Brütten, Zentrum",8506960,47.47204,8.676486
Dietikon Schöneggstrasse,8517376,47.401993,8.400909
"Zürich, Rigiblick",8530473,47.38733,8.553417
Horgen Autoquai,8530643,47.259228,8.604639
Meilen Autoquai,8530644,47.26798,8.638478
Maur (See),8530645,47.340282,8.679019
Uster (See),8530646,47.343224,8.690113
Fällanden (See),8530647,47.365759999999995,8.652707000000001
Greifensee (See),8530648,47.364536,8.674923
Mönchaltorf (See),8530696,47.32598,8.699923
Zürich Balgrist,8530811,47.35458,8.575021000000001
Zürich Hegibachplatz,8530812,47.36169,8.560621000000001
Zürich Kreuzplatz,8530813,47.364876,8.554082000000001
Zürich Limmatquai,8530822,47.37323,8.542628
"Oberhasli, Industrie",8557033,47.459267,8.490014
"Niederhasli, Nassenwil",8557034,47.465614,8.471445
"Affoltern a. A., Lindenmoos",8557097,47.270804999999996,8.4441185
"Schlieren, Kampstrasse",8557101,47.39346,8.44834
"Jonen, Weingasse",8570706,47.293427,8.398017
"Berikon-Widen, Bahnhof",8572560,47.361796999999996,8.3667555
"Bellikon, Rehaklinik",8572561,47.388535,8.344037
"Bremgarten AG, Badenerstrasse",8572568,47.356388,8.348519999999999
"Birmensdorf ZH, Altenberg",8572595,47.347126,8.420565
"Oberwil-Lieli, Englisächer",8572596,47.341476,8.401063
"Oberwil-Lieli, im Moos",8572597,47.341118,8.394029
"Berikon, Mattenhof",8572598,47.344124,8.380069
"Berikon, Kreisschule",8572599,47.356277,8.366298
"Zufikon, Emaus",8572600,47.344646000000004,8.351988
"Zufikon, Algier",8572601,47.34174,8.354637
"Oberlunkhofen, Kellerämterst.",8572602,47.313365999999995,8.388917
